Soil;G;qt ;fs;u;gamma;mq;Rf
Clay;"2,391";"473,47";"10,87";"166,9";"14,288";"59,18375";"2,21"
Clay;"2,613";"426,75";"7,81";"259,87";"15,23";"42,675";"2,2"
Clay;"2,784";"327,76";"12,19";"46,95";"17,064";"81,94";"5,45"
Clay;"1,559";"698,56";"46,3";"117,98";"10,885";"99,79428571";"4,6"
Clay;"2,716";"627,76";"9,86";"237,75";"15,799";"69,75111111";"1,72"
Clay;"1,804";"1002,27";"19,77";"65,25";"10,552";"250,5675";"5,64"
Clay;"1,693";"396,45";"20,62";"108,93";"10,209";"76,24038462";"4,57"
Clay;"1,79";"362,38";6;"100,73";"10,787";"56,621875";"2,51"
Clay;"2,825";"323,16";"2,21";"81,27";"16,818";"107,72";"1,33"
Mining tailing - zinc;"3,284";"30,372072";"0,1416267";"19,817183";"12,11";"30,372072";"0,49"
Mining tailing - zinc;"3,285";"55,915855";"0,2518767";"41,385173";"12,35";"27,9579275";"0,28"
Mining tailing - zinc;"3,285";"94,789898";"0,80145";"57,788517";"12,19";"31,59663267";"0,82"
Mining tailing - zinc;"3,285";"117,8051";"1,07926";"79,43301";"12,31";"29,451275";"0,55"
Mining tailing - zinc;"3,3";"167,56322";"1,6149733";"105,65571";"13,03";"33,512644";"1,05"
Mining tailing - zinc;"3,371";"218,71383";"1,7666";"138,35193";"12,6";"36,452305";"0,88"
Mining tailing - zinc;"3,371";"260,63805";"2,4339167";"157,1152";"12,73";"37,23400714";"0,92"
Mining tailing - zinc;"3,371";"264,74975";"2,9300667";"174,22683";"13,17";"33,09371875";"0,64"
Mining tailing - zinc;"3,371";"360,58711";"5,4094467";"202,63379";"12,71";"40,06523444";"1,34"
Mining tailing - zinc;"3,371";"383,09392";"3,77714";"245,91428";"13,06";"38,309392";"1,05"
Mining tailing - zinc;"3,371";"520,37247";"6,5509";"257,78475";"14,22";"47,30658818";"1,43"
Mining tailing - zinc;"3,371";"416,15812";"4,8421208";"270,31886";"13,62";"34,67984333";"0,98"
Mining tailing - zinc;"3,315";"81,124412";"0,82228667";"62,3624733";"12,79";"40,562206";"0,87"
Mining tailing - zinc;"3,32";"131,120218";"1,60274";"77,5957933";"13,58";"43,70673933";"1,08"
